Cell,Pack Voltage (V),SMod,S,Pack Current (A),P,MCnt,Pack Power (kW),Pack Energy (kWh),Total Pack Weight (kg),Cell Weight (kg),Total Wall Weight (kg),Grav Energy Density (Wh/kg),Grav Power Density (W/kg),Pack Length (mm),Pack Width (mm),Pack Height (mm),Total Wall Volume (mm³)
GRPA247145,388.5,15,105,151.2,3.0,7,58.7412,9.7902,53.5752701805,48.195,5.380270180499999,0.18273729590193236,1.096423775411594,150.0,976.5,144.5,1985339.5499999998
GRPA247145,384.8,13,104,151.2,3.0,8,58.18176,9.69696,53.316341757,47.736,5.580341756999999,0.18187594423105502,1.09125566538633,130.0,1116.0,144.5,2059166.7
GRPA247145,503.20000000000005,17,136,151.2,3.0,8,76.08384,12.680640000000002,69.102818577,62.424,6.678818577,0.18350394761206737,1.1010236856724038,170.0,1116.0,144.5,2464508.7
GRPA247145,473.6,16,128,151.2,3.0,8,71.60831999999999,11.934720000000002,65.156199372,58.752,6.404199372,0.18317090491820165,1.0990254295092095,160.0,1116.0,144.5,2363173.2
GRPA247145,621.6000000000001,24,168,100.8,2.0,7,62.657280000000014,10.442880000000002,57.019780467000004,51.408,5.611780467,0.18314486507088154,1.0988691904252892,240.0,651.0,144.5,2070767.7
GRPA247145,621.6,21,168,100.8,2.0,8,62.65728,10.44288,57.160284753,51.408,5.752284753,0.18269468119561663,1.0961680871736996,210.0,744.0,144.5,2122614.3
GRPA247145,595.7,23,161,100.8,2.0,7,60.04656000000001,10.00776,54.692817547,49.266,5.426817547,0.18298124779181255,1.0978874867508754,230.0,651.0,144.5,2002515.7
GRPA247145,592.0,20,160,100.8,2.0,8,59.6736,9.9456,54.502185228,48.96,5.542185227999999,0.18248075665946947,1.0948845399568168,200.0,744.0,144.5,2045086.7999999998
GRP5972200,414.40000000000003,14,112,162.0,3.0,8,67.1328,11.1888,65.2114210896,57.792,7.419421089599999,0.17157730675162983,1.029463840509779,78.39999999999999,1704.0,199.0,2737793.76
GRP5972200,388.5,15,105,162.0,3.0,7,62.937,10.4895,60.884532954,54.18,6.704532954000001,0.17228513533847942,1.0337108120308764,84.0,1491.0,199.0,2473997.4000000004
GRP5972200,384.8,13,104,162.0,3.0,8,62.3376,10.3896,60.8554032072,53.664,7.1914032072,0.17072600709957622,1.0243560425974574,72.8,1704.0,199.0,2653654.32
GRP5972200,510.6,23,138,108.0,2.0,6,55.144800000000004,9.1908,52.6071891896,47.472,5.135189189599999,0.1747061597774348,1.048236958664609,128.79999999999998,852.0,199.0,1894903.7599999998
GRP5972200,518.0,20,140,108.0,2.0,7,55.944,9.324,53.66809126,48.16,5.50809126,0.17373451861421763,1.0424071116853058,112.0,994.0,199.0,2032506.0
GRP5972200,503.20000000000005,17,136,108.0,2.0,8,54.345600000000005,9.0576,52.5405653064,46.784,5.7565653064,0.17239251133250919,1.034355067995055,95.19999999999999,1136.0,199.0,2124193.84
GRP5972200,488.40000000000003,22,132,108.0,2.0,6,52.74720000000001,8.7912,50.4118151104,45.408,5.003815110399999,0.17438769028148657,1.0463261416889196,123.19999999999999,852.0,199.0,1846426.2399999998
GRP5972200,492.09999999999997,19,133,108.0,2.0,7,53.1468,8.8578,51.1079791768,45.752,5.355979176799999,0.17331540285241637,1.0398924171144983,106.39999999999999,994.0,199.0,1976376.0799999998
GRP5972200,473.6,16,128,108.0,2.0,8,51.1488,8.5248,49.6157152192,44.032,5.5837152192,0.17181652954790266,1.0308991772874159,89.6,1136.0,199.0,2060411.52
GRP5972200,621.6,21,168,108.0,2.0,8,67.1328,11.1888,64.2399656552,57.792,6.4479656552,0.17417194865972516,1.0450316919583509,117.6,1136.0,199.0,2379323.12
GRP5972200,595.7,23,161,108.0,2.0,7,64.3356,10.7226,61.3484275096,55.384,5.964427509599999,0.1747819860308904,1.0486919161853425,128.79999999999998,994.0,199.0,2200895.76
GRP5972200,592.0,20,160,108.0,2.0,8,63.936,10.656,61.315115567999996,55.04,6.2751155679999995,0.17379075129006696,1.0427445077404018,112.0,1136.0,199.0,2315540.8
